tab20b,polychrome,Spectral,cubs,lions,capitals,cornell,blue_ramp,red_ramp,green_ramp,purple_ramp,orange_ramp,RdYlBu,flare,crest,ldw29,txg,primary,colblind_8
#393b79,#5a5156,#9e0142,#cc3433,#0076b6,#041e42,#b31b1b,#e3f2fd,#ffebee,#e8f5e9,#f3e5f5,#1b5e20,#a50026,#e98d6b,#7dba91,#f20a53,#52a0dc,#c42a2e,#5aa878
#5254a3,#e4e1e3,#d53e4f,#0e3386,#b0b7bc,#c8102e,#222222,#bbdefb,#ffcdd2,#c8e6c9,#e1bee7,#ffe0b2,#d73027,#e3685c,#59a590,#4d1f82,#8cbe56,#d8a837,#e9df4f
#6b6ecf,#f6222e,#f46d43,,,,,#90caf9,#ef9a9a,#a5d6a7,#ce93d8,#ffcc80,#f46d43,#d14a61,#40908e,#8f4ecc,#efc438,#2e6198,#3670b7
#9c9ede,#fe00fa,#fdae61,,,,,#64b5f6,#e57373,#81c784,#ba68c8,#ffb74d,#fdae61,#b13c6c,#287a8c,#3d78e0,#ce4c51,,#d85b2a
#637939,#16ff32,#fee08b,,,,,#42a5f5,#ef5350,#66bb6a,#ab47bc,#ffa726,#fee090,#8f3371,#1c6488,#d6475f,,,#c66fa9
#8ca252,#3283fe,#ffffbf,,,,,#2196f3,#f44336,#4caf50,#9c27b0,#ff9800,#ffffbf,#6c2b6d,#254b7f,#000000,,,#bdbec0
#b5cf6b,#feaf16,#e6f598,,,,,#1e88e5,#e53935,#43a047,#8e24aa,#fb8c00,#e0f3f8,,,#940a1d,,,#e3932e
#cedb9c,#b00068,#abdda4,,,,,#1976d2,#d32f2f,#388e3c,#7b1fa2,#f57c00,#abd9e9,,,#faa000,,,#60b8ef
#8c6d31,#1cffce,#66c2a5,,,,,#1565c0,#c62828,#2e7d32,#6a1b9a,#ef6c00,#74add1,,,#447173,,,
#bd9e39,#90ad1c,#3288bd,,,,,#0d47a1,#b71c1c,#1b5e20,#4a148c,#e65100,#4575b4,,,#3c0aaa,,,
#e7ba52,#2ed9ff,#5e4fa2,,,,,,,,,,#313695,,,#5ab40a,,,
#e7cb94,#dea0fd,,,,,,,,,,,,,,#362354,,,
#843c39,#aa0dfe,,,,,,,,,,,,,,#065b66,,,
#ad494a,#f8a19f,,,,,,,,,,,,,,#0ab4a6,,,
#d6616b,#325a9b,,,,,,,,,,,,,,#5c946a,,,
#e7969c,#c4451c,,,,,,,,,,,,,,#82faa0,,,
#7b4173,#1c8356,,,,,,,,,,,,,,#278a4b,,,
#a55194,#85660d,,,,,,,,,,,,,,#b84b85,,,
#ce6dbd,#b10da1,,,,,,,,,,,,,,#354852,,,
#de9ed6,#fbe426,,,,,,,,,,,,,,#fa78fa,,,
,#1cbe4f,,,,,,,,,,,,,,#c85a00,,,
,#fa0087,,,,,,,,,,,,,,#709eb5,,,
,#fc1cbf,,,,,,,,,,,,,,#076594,,,
,#f7e1a0,,,,,,,,,,,,,,#826e00,,,
,#c075a6,,,,,,,,,,,,,,#5078fa,,,
,#782ab6,,,,,,,,,,,,,,#d15115,,,
,#aaf400,,,,,,,,,,,,,,#871e8f,,,
,#bdcdff,,,,,,,,,,,,,,#83ccbd,,,
,#822e1c,,,,,,,,,,,,,,#793ea8,,,
,#b5efb5,,,,,,,,,,,,,,,,,
,#7ed7d1,,,,,,,,,,,,,,,,,
,#1c7f93,,,,,,,,,,,,,,,,,
,#d85ff7,,,,,,,,,,,,,,,,,
,#683b79,,,,,,,,,,,,,,,,,
,#66b0ff,,,,,,,,,,,,,,,,,
,#3b00fb,,,,,,,,,,,,,,,,,
